epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75207,1.09942,2.16262,1.39038,0.7638,0.83333,0.88897,0.62444,1.43188,1.38321,1.27163,0,0,0
2,5.30293,0.79968,1.82726,1.22535,0.79015,0.75,0.88906,0.62408,1.43802,1.38854,1.27306,1.07219e-06,1.07219e-06,1.07219e-06
3,7.78457,1.02763,2.40172,1.22824,0.85405,0.74807,0.875,0.63152,1.46271,1.4024,1.28286,1.90876e-06,1.90876e-06,1.90876e-06
4,10.0812,1.00243,2.60674,1.36384,0.83696,0.75,0.87513,0.60721,1.45809,1.4122,1.27876,2.50971e-06,2.50971e-06,2.50971e-06
5,12.3099,1.0343,2.00589,1.27694,0.83777,0.75,0.87509,0.60483,1.48121,1.42745,1.2886,2.87504e-06,2.87504e-06,2.87504e-06
6,14.5325,1.09973,2.5727,1.53542,0.7691,0.75,0.87516,0.59553,1.50286,1.4789,1.30252,3.00475e-06,3.00475e-06,3.00475e-06
7,16.7397,1.00207,1.72628,1.31473,0.74317,0.75,0.88913,0.59309,1.52118,1.53298,1.31218,2.89884e-06,2.89884e-06,2.89884e-06
8,19.0155,0.89346,1.82201,1.23863,0.72049,0.75,0.88939,0.58892,1.53051,1.60166,1.32707,2.55731e-06,2.55731e-06,2.55731e-06
9,21.4667,0.91733,2.09807,1.2616,0.7291,0.75,0.83138,0.59066,1.51384,1.62119,1.31607,1.98016e-06,1.98016e-06,1.98016e-06
10,23.6619,0.98656,1.79637,1.33279,0.73652,0.75,0.83122,0.58921,1.5212,1.64867,1.31603,1.16739e-06,1.16739e-06,1.16739e-06
