epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.66,4.45519,30.4087,4.12174,0,0,0,0,4.54108,35.4948,3.86766,0.000132153,0.000132153,0.000132153
2,1144.93,4.27628,21.4626,3.97527,0,0,0,0,3.89011,22.4467,3.47602,0.000239204,0.000239204,0.000239204
3,1702.19,3.90911,17.2544,3.56143,6e-05,0.00253,2e-05,1e-05,3.49639,23.4157,3.13148,0.000319854,0.000319854,0.000319854
4,2256.42,3.8001,15.8707,3.18097,0.00023,0.01033,0.00022,8e-05,3.3582,18.1102,2.86856,0.0002812,0.0002812,0.0002812
5,2809.6,3.53243,12.3912,3.02058,0.00059,0.01541,0.00011,2e-05,3.28846,16.9356,2.75276,0.0002416,0.0002416,0.0002416
6,3363.61,3.40599,12.6296,2.86604,0.00048,0.03438,0.00106,0.00038,3.18042,16.6162,2.67311,0.000202,0.000202,0.000202
7,3918.8,3.28077,10.6247,2.80455,0.00169,0.05704,0.00177,0.00045,3.06689,14.8796,2.60307,0.0001624,0.0001624,0.0001624
8,4474.96,3.25944,10.4182,2.7212,0.00205,0.05472,0.00373,0.00101,3.08458,13.2235,2.53464,0.0001228,0.0001228,0.0001228
9,5029.08,3.20076,9.4233,2.65621,0.00187,0.07205,0.00698,0.00215,3.0508,13.1081,2.50109,8.32e-05,8.32e-05,8.32e-05
10,5579.39,3.1895,9.89124,2.58445,0.00212,0.08099,0.00632,0.0019,3.0266,12.5833,2.47666,4.36e-05,4.36e-05,4.36e-05
