epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.983,2.16295,7.59719,1.35854,0.76151,0.00304,0.00977,0.00421,1.88008,10.9236,1.1645,0.000132153,0.000132153,0.000132153
2,997.458,2.14893,6.5157,1.32019,0.68758,0.04264,0.03344,0.01633,1.93709,10.2495,1.30071,0.000252345,0.000252345,0.000252345
3,1497.63,2.13296,6.57732,1.35642,0.57262,0.06873,0.06113,0.02905,1.89745,8.84733,1.2657,0.000359337,0.000359337,0.000359337
4,1964.59,2.15843,5.39582,1.36072,0.43575,0.09765,0.09731,0.04375,1.9934,7.84526,1.27315,0.0003406,0.0003406,0.0003406
5,2438.26,2.06595,4.68721,1.34391,0.45054,0.11638,0.13811,0.06724,1.85251,6.86011,1.24657,0.0003208,0.0003208,0.0003208
6,2920.33,2.00444,4.21226,1.31399,0.47193,0.14756,0.15274,0.07095,1.79184,6.32451,1.18121,0.000301,0.000301,0.000301
7,3401.25,2.03583,3.86577,1.2976,0.48562,0.14864,0.16419,0.07634,1.83809,5.80847,1.20146,0.0002812,0.0002812,0.0002812
8,3886.14,1.97117,3.60274,1.28303,0.41029,0.17207,0.18348,0.0871,1.80404,5.27092,1.20701,0.0002614,0.0002614,0.0002614
9,4352.48,1.93428,3.35291,1.24235,0.44023,0.20662,0.19944,0.09601,1.76908,4.49651,1.16974,0.0002416,0.0002416,0.0002416
10,4844.07,1.90435,3.09834,1.23181,0.33997,0.21502,0.21179,0.09398,1.8187,4.29158,1.18145,0.0002218,0.0002218,0.0002218
11,5344.17,1.88373,3.11024,1.27042,0.41779,0.23529,0.23249,0.10935,1.72677,4.15767,1.16768,0.000202,0.000202,0.000202
12,5842.87,1.86585,2.9005,1.26359,0.49334,0.22847,0.24322,0.11169,1.79764,3.92328,1.17146,0.0001822,0.0001822,0.0001822
13,6340.01,1.78826,2.76838,1.23897,0.46998,0.24962,0.2397,0.12286,1.70508,3.71565,1.1546,0.0001624,0.0001624,0.0001624
14,6836.7,1.7901,2.62012,1.19278,0.53992,0.21951,0.24344,0.12127,1.77723,3.44017,1.16615,0.0001426,0.0001426,0.0001426
15,7335.23,1.76193,2.51475,1.19417,0.60269,0.20932,0.24718,0.1207,1.74133,3.26125,1.1549,0.0001228,0.0001228,0.0001228
16,7834.21,1.73494,2.34878,1.17065,0.52917,0.25081,0.2631,0.13365,1.69898,3.17325,1.14782,0.000103,0.000103,0.000103
17,8334.04,1.69274,2.28776,1.18658,0.65272,0.24162,0.2816,0.1371,1.73547,3.07923,1.15804,8.32e-05,8.32e-05,8.32e-05
18,8830.74,1.70154,2.21991,1.15866,0.74072,0.23166,0.28247,0.13722,1.71702,3.07684,1.14481,6.34e-05,6.34e-05,6.34e-05
19,9329.73,1.66612,2.13197,1.14228,0.68596,0.23815,0.29005,0.14522,1.70341,3.01989,1.14259,4.36e-05,4.36e-05,4.36e-05
20,9827.85,1.62661,2.0392,1.1204,0.72228,0.23307,0.28857,0.14322,1.70024,2.98801,1.13644,2.38e-05,2.38e-05,2.38e-05
