epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,719.71,2.19042,7.84691,1.34383,0.00214,0.10936,0.00331,0.00145,1.92858,11.7799,1.13835,0.000132153,0.000132153,0.000132153
2,1396.04,2.22716,7.02603,1.2996,0.65013,0.03147,0.02316,0.00963,2.02603,10.8698,1.20946,0.000262858,0.000262858,0.000262858
3,1999.59,2.18601,6.86945,1.33661,0.68932,0.0443,0.04757,0.02128,2.00612,9.46283,1.23489,0.000390923,0.000390923,0.000390923
4,2608.93,2.22487,5.78098,1.34377,0.44313,0.09401,0.08768,0.03757,1.99748,8.78261,1.27573,0.00038812,0.00038812,0.00038812
5,3209.72,2.13463,4.91333,1.3654,0.32872,0.11623,0.09256,0.04122,1.98851,7.41681,1.18569,0.00038416,0.00038416,0.00038416
6,3806.26,2.0711,4.48858,1.30685,0.50994,0.11079,0.12482,0.05559,1.93851,6.27968,1.21879,0.0003802,0.0003802,0.0003802
7,4402.55,2.135,4.00027,1.31248,0.4561,0.12242,0.13168,0.06644,1.91536,5.61823,1.19705,0.00037624,0.00037624,0.00037624
8,4998.34,2.05587,3.66699,1.30201,0.56379,0.11877,0.14869,0.07077,1.92976,5.24965,1.22827,0.00037228,0.00037228,0.00037228
9,5599.97,2.06509,3.5029,1.29767,0.39247,0.16242,0.15935,0.07414,1.89735,4.83646,1.22169,0.00036832,0.00036832,0.00036832
10,6204.13,2.03746,3.22632,1.28687,0.42422,0.1913,0.18839,0.08622,1.85171,4.45122,1.18615,0.00036436,0.00036436,0.00036436
11,6806.74,2.01505,2.92455,1.25497,0.41223,0.1621,0.16338,0.07476,1.89391,3.96418,1.24306,0.0003604,0.0003604,0.0003604
12,7409.5,2.04121,2.85661,1.30951,0.3863,0.18855,0.17571,0.08114,1.91806,3.69313,1.23535,0.00035644,0.00035644,0.00035644
13,8088.72,1.99262,2.70221,1.25832,0.53866,0.19661,0.21721,0.10582,1.85216,3.29096,1.19436,0.00035248,0.00035248,0.00035248
14,8798.29,1.92452,2.59321,1.24564,0.48316,0.20007,0.2371,0.10879,1.84563,3.347,1.17066,0.00034852,0.00034852,0.00034852
15,9534.94,1.91621,2.40508,1.24639,0.57354,0.20348,0.22533,0.10465,1.78016,3.05687,1.13639,0.00034456,0.00034456,0.00034456
16,10260.7,1.95262,2.39177,1.25526,0.57018,0.20229,0.23516,0.11364,1.86913,3.00598,1.2035,0.0003406,0.0003406,0.0003406
17,11003.9,1.92049,2.32825,1.26307,0.51288,0.24073,0.24672,0.11703,1.76248,2.90955,1.15289,0.00033664,0.00033664,0.00033664
18,11742.7,1.84863,2.16805,1.22586,0.58056,0.21275,0.23437,0.10237,1.86339,2.78357,1.18147,0.00033268,0.00033268,0.00033268
19,12481.2,1.90642,2.17362,1.21196,0.57448,0.22695,0.22472,0.11081,1.82186,2.80753,1.20494,0.00032872,0.00032872,0.00032872
20,13204.6,1.83021,2.04475,1.2117,0.71164,0.19733,0.24418,0.12086,1.71658,2.53402,1.15452,0.00032476,0.00032476,0.00032476
21,13879.5,1.89648,2.10071,1.2257,0.64298,0.23556,0.26663,0.13378,1.75505,2.59656,1.16821,0.0003208,0.0003208,0.0003208
22,14547.3,1.86025,1.9957,1.19103,0.69265,0.23899,0.25309,0.116,1.82851,2.36217,1.18224,0.00031684,0.00031684,0.00031684
23,15235,1.83801,1.96184,1.2002,0.65405,0.25017,0.24905,0.1209,1.72344,2.48093,1.15506,0.00031288,0.00031288,0.00031288
24,15841.1,1.82044,1.94815,1.18804,0.59105,0.25574,0.28501,0.13966,1.70143,2.38348,1.16559,0.00030892,0.00030892,0.00030892
25,16526.7,1.79562,1.83574,1.19031,0.7819,0.23967,0.30496,0.15061,1.74329,2.29041,1.17693,0.00030496,0.00030496,0.00030496
26,17222.6,1.77414,1.77151,1.1708,0.76892,0.24283,0.26912,0.13189,1.75012,2.2087,1.14599,0.000301,0.000301,0.000301
27,17927,1.74669,1.72896,1.16146,0.76387,0.23534,0.29406,0.14658,1.70769,2.43033,1.15522,0.00029704,0.00029704,0.00029704
28,18606.5,1.75611,1.69677,1.1604,0.70649,0.23492,0.31278,0.15611,1.7723,2.21778,1.20148,0.00029308,0.00029308,0.00029308
29,19249.8,1.74385,1.69279,1.15114,0.64938,0.27877,0.29656,0.14612,1.71001,2.18864,1.1649,0.00028912,0.00028912,0.00028912
30,19835.1,1.74259,1.67728,1.17309,0.69836,0.26381,0.31151,0.14276,1.76039,2.00216,1.15538,0.00028516,0.00028516,0.00028516
31,20472.9,1.76231,1.66232,1.15808,0.74733,0.25884,0.32569,0.16676,1.70062,2.19778,1.16752,0.0002812,0.0002812,0.0002812
32,21084.2,1.73792,1.64273,1.13272,0.76821,0.25223,0.31949,0.15263,1.74087,1.99521,1.1904,0.00027724,0.00027724,0.00027724
33,21616.2,1.77337,1.6504,1.15715,0.71375,0.27214,0.33418,0.16359,1.73968,2.0281,1.16339,0.00027328,0.00027328,0.00027328
34,22141.9,1.71779,1.55688,1.14879,0.5688,0.36034,0.35418,0.16717,1.75847,1.99535,1.18096,0.00026932,0.00026932,0.00026932
35,22662.1,1.6828,1.50407,1.13894,0.86536,0.2338,0.32842,0.15912,1.75939,2.15683,1.20245,0.00026536,0.00026536,0.00026536
36,23183.2,1.6545,1.4921,1.13174,0.81644,0.25974,0.36891,0.18265,1.76366,1.93795,1.2153,0.0002614,0.0002614,0.0002614
37,23705.5,1.65492,1.46961,1.12972,0.81551,0.2626,0.35489,0.17289,1.72725,1.84663,1.1837,0.00025744,0.00025744,0.00025744
38,24227.1,1.70535,1.53397,1.14835,0.68648,0.30289,0.37909,0.17294,1.77145,1.92996,1.19296,0.00025348,0.00025348,0.00025348
39,24748.7,1.65927,1.4691,1.11083,0.80153,0.25523,0.36897,0.17119,1.73047,1.8626,1.17598,0.00024952,0.00024952,0.00024952
40,25268.7,1.64796,1.46882,1.12203,0.69707,0.33516,0.36512,0.17477,1.71736,1.80347,1.16469,0.00024556,0.00024556,0.00024556
41,25790.1,1.65576,1.41989,1.1172,0.54931,0.31942,0.38177,0.18943,1.69282,1.77757,1.16478,0.0002416,0.0002416,0.0002416
42,26310,1.69892,1.41424,1.11916,0.70371,0.34316,0.40427,0.20239,1.65102,1.80752,1.13509,0.00023764,0.00023764,0.00023764
43,26828.6,1.6361,1.37251,1.10697,0.68726,0.34634,0.38102,0.17808,1.6722,1.84616,1.11997,0.00023368,0.00023368,0.00023368
44,27351,1.63736,1.39792,1.10362,0.63288,0.3813,0.38977,0.18997,1.62915,1.80463,1.11768,0.00022972,0.00022972,0.00022972
45,27873.1,1.6293,1.34302,1.09561,0.59638,0.32632,0.35686,0.16721,1.70344,1.75886,1.14177,0.00022576,0.00022576,0.00022576
46,28398.4,1.61601,1.34006,1.10649,0.67196,0.36249,0.40477,0.19067,1.66385,1.67495,1.13498,0.0002218,0.0002218,0.0002218
47,28921.7,1.59493,1.32472,1.08587,0.76418,0.36291,0.39914,0.19316,1.62941,1.67645,1.11716,0.00021784,0.00021784,0.00021784
48,29446,1.55733,1.27527,1.08294,0.61146,0.39649,0.40541,0.19107,1.70698,1.68138,1.1427,0.00021388,0.00021388,0.00021388
49,29966.2,1.59671,1.27122,1.07534,0.59101,0.39204,0.42137,0.20441,1.64855,1.62783,1.11597,0.00020992,0.00020992,0.00020992
50,30488.9,1.61783,1.28563,1.07404,0.65309,0.39261,0.42099,0.20652,1.68122,1.68158,1.12342,0.00020596,0.00020596,0.00020596
51,31010.9,1.58955,1.26504,1.06373,0.57626,0.40137,0.40276,0.19097,1.62291,1.66702,1.1217,0.000202,0.000202,0.000202
52,31533.3,1.59187,1.26303,1.07267,0.68508,0.35622,0.41173,0.20188,1.6395,1.65591,1.11947,0.00019804,0.00019804,0.00019804
53,32055.2,1.52502,1.1905,1.06894,0.69932,0.35358,0.40203,0.20024,1.67905,1.63296,1.13061,0.00019408,0.00019408,0.00019408
54,32584.1,1.51839,1.14763,1.05523,0.71718,0.37153,0.42306,0.20497,1.68418,1.64455,1.1312,0.00019012,0.00019012,0.00019012
55,33114.4,1.54611,1.18444,1.08063,0.66461,0.35616,0.3991,0.19577,1.73742,1.68738,1.13808,0.00018616,0.00018616,0.00018616
56,33642.3,1.52097,1.18016,1.04634,0.64455,0.3843,0.39846,0.20118,1.68189,1.57949,1.14694,0.0001822,0.0001822,0.0001822
